100.	0.
100.15650236704555	0.004
100.314009645712	0.008
100.472522078427	0.012
100.63203987597589	0.016
100.79256321772951	0.02
100.95409225187457	0.024
101.11662709564635	0.028
101.28016783556393	0.032
101.44471452766773	0.036
101.61026719775911	0.04
101.77682584164236	0.044
101.94439042536867	0.048
102.11296088548212	0.052
102.28253712926758	0.056
102.45311903500058	0.06
102.62470645219892	0.064
102.79729920187593	0.068
102.97089707679545	0.072
103.14549984172842	0.076
103.32110723371098	0.08
103.49771896230371	0.084
103.67533470985275	0.088
103.85395413175178	0.092
104.03357685670527	0.096
104.21420248699312	0.1
104.3958305987361	0.104
104.57846074216239	0.108
104.76209244187518	0.112
104.94672519712086	0.116
105.13235848205822	0.12
105.31899174602842	0.124
105.5066244138253	0.128
105.6952558859668	0.132
105.88488553896633	0.136
106.07551272560507	0.14
106.2671367752044	0.144
106.45975699389886	0.148
106.6533726649092	0.152
106.84798304881566	0.156
107.04358738383164	0.16
107.24018488607712	0.164
107.4377747498523	0.168
107.63635614791127	0.172
107.83592823173547	0.176
108.03649013180686	0.18
108.23804095788134	0.184
108.4405797992615	0.188
108.64410572506912	0.192
108.8486177845176	0.196
109.05411500718347	0.2
109.26059640327796	0.204
109.46806096391768	0.208
109.67650766139482	0.212
109.88593544944685	0.216
110.09634326352533	0.22
110.30773002106424	0.224
110.5200946217474	0.228
110.73343594777505	0.232
110.9477528641297	0.236
111.163044218841	0.24
111.37930884324969	0.244
111.59654555227057	0.248
111.81475314465439	0.252
112.0339304032488	0.256
112.25407609525813	0.26
112.47518897250184	0.264
112.69726777167226	0.268
112.92031121459063	0.272
113.1443180084621	0.276
113.36928684612953	0.28
113.59521640632583	0.284
113.82210535392498	0.288
114.04995234019172	0.292
114.27875600302973	0.296
114.50851496722854	0.3
114.73922784470881	0.304
114.97089323476617	0.308
115.20350972431352	0.312
115.43707588812184	0.316
115.67159028905931	0.32
115.90705147832898	0.324
116.14345799570461	0.328
116.38080836976516	0.332
116.6191011181273	0.336
116.85833474767644	0.34
117.09850775479592	0.344
117.33961862559465	0.348
117.58166583613279	0.352
117.82464785264584	0.356
118.0685631317668	0.36
118.31341012074668	0.364
118.55918725767312	0.368
118.80589297168723	0.372
119.05352568319847	0.376
119.3020838040979	0.38
119.5515657379693	0.384
119.8019698802987	0.388
120.05329461868175	0.392
120.30553833302938	0.396
120.55869939577153	0.4
120.81277617205888	0.404
121.06776701996283	0.408
121.32367029067328	0.412
121.5804843286948	0.416
121.83820747204055	0.42
122.0968380524246	0.424
122.35637439545191	0.428
122.61681482080668	0.432
122.87815764243864	0.436
123.14040116874723	0.44
123.40354370276405	0.444
123.66758354233336	0.448
123.93251898029023	0.452
124.19834830463729	0.456
124.46506979871903	0.46
124.73268174139447	0.464
125.00118240720764	0.468
125.27057006655633	0.472
125.54084298585859	0.476
125.81199942771755	0.48
126.08403765108413	0.484
126.35695591141787	0.488
126.63075246084578	0.492
126.90542554831924	0.496
127.18097341976903	0.5
127.45739431825835	0.504
127.73468648413397	0.508
128.01284815517542	0.512
128.29187756674233	0.516
128.57177295191974	0.52
128.85253254166173	0.524
129.13415456493297	0.528
129.41663724884836	0.532
129.69997881881093	0.536
129.98417749864788	0.54
130.2692315107447	0.544
130.5551390761773	0.548
130.84189841484266	0.552
131.12950774558715	0.556
131.41796528633367	0.56
131.7072692542063	0.564
131.99741786565374	0.568
132.28840933657037	0.572
132.58024188241623	0.576
132.87291371833464	0.58
133.16642305926823	0.584
133.46076812007342	0.588
133.75594711563298	0.592
134.05195826096687	0.596
134.34879977134148	0.6
134.64646986237702	0.604
134.94496675015338	0.608
135.2442886513142	0.612
135.54443378316944	0.616
135.8454003637959	0.62
136.1471866121368	0.624
136.449790748099	0.628
136.7532109926491	0.632
137.05744556790776	0.636
137.3624926972425	0.64
137.66835060535882	0.644
137.97501751838993	0.648
138.28249166398473	0.652
138.59077127139457	0.656
138.89985457155817	0.66
139.20973979718516	0.664
139.5204251828384	0.668
139.83190896501415	0.672
140.1441893822216	0.676
140.45726467506051	0.68
140.7711330862972	0.684
141.08579286093976	0.688
141.40124224631126	0.692
141.71747949212192	0.696
142.0345028505398	0.7
142.35231057626004	0.704
142.67090092657298	0.708
142.99027216143062	0.712
143.31042254351217	0.716
143.63135033828792	0.72
143.95305381408204	0.724
144.27553124213406	0.728
144.598780896659	0.732
144.92280105490647	0.736
145.2475899972182	0.74
145.5731460070847	0.744
145.89946737120047	0.748
146.22655237951824	0.752
146.55439932530174	0.756
146.88300650517743	0.76
147.21237221918543	0.764
147.54249477082865	0.768
147.87337246712133	0.772
148.20500361863628	0.776
148.53738653955105	0.78
148.87051954769285	0.784
149.20440096458282	0.788
149.53902911547874	0.792
149.87440232941717	0.796
150.21051893925403	0.8
150.5473772817049	0.804
150.88497569738348	0.808
151.22331253083968	0.812
151.5623861305964	0.816
151.90219484918575	0.82
152.24273704318375	0.824
152.58401107324448	0.828
152.92601530413324	0.832
153.2687481047588	0.836
153.61220784820455	0.84
153.95639291175925	0.844
154.30130167694634	0.848
154.6469325295526	0.852
154.9932838596563	0.856
155.3403540616539	0.86
155.68814153428642	0.864
156.03664468066466	0.868
156.385861908294	0.872
156.73579162909792	0.876
157.08643225944118	0.88
157.437782220152	0.884
157.78983993654344	0.888
158.14260383843438	0.892
158.49607236016925	0.896
158.85024394063737	0.9
159.20511702329168	0.904
159.5606900561664	0.908
159.91696149189428	0.912
160.2739297877231	0.916
160.6315934055315	0.92
160.98995081184415	0.924
161.34900047784615	0.928
161.7087408793971	0.932
